korean,stem,createdDate,english,hanja,lastUpdated,order_id,storyList
황소,황소 ,{'$date': {'$numberLong': '1599430742443'}},"bull, ox",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 252},['5f53fc3cceceb9573eaf8788']
갈,갈다 ,{'$date': {'$numberLong': '1599430742443'}},"plow, cultivate",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 253},['5f53fc3cceceb9573eaf8788']
주정뱅이,주정뱅이 ,{'$date': {'$numberLong': '1599430742443'}},"drunk, drunkard",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 254},['5f53fc3cceceb9573eaf8788']
공양,공양 ,{'$date': {'$numberLong': '1599430742443'}},offering; praying for the dead souls (Buddhism),供養,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 255},['5f53fc3cceceb9573eaf8788']
연령,연령 ,{'$date': {'$numberLong': '1599430742443'}},age,年齡,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 256},['5f53fc3cceceb9573eaf8788']
건장하,건장하다 ,{'$date': {'$numberLong': '1599430742443'}},"be sturdy, robust",健壯,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 257},['5f53fc3cceceb9573eaf8788']
체구,체구 ,{'$date': {'$numberLong': '1599430742443'}},"body, physique, physical constitution",體軀,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 258},['5f53fc3cceceb9573eaf8788']
형형하,형형하다 ,{'$date': {'$numberLong': '1599430742443'}},"be glaring, piercing, bright and shining",炯炯,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 259},['5f53fc3cceceb9573eaf8788']
홉,홉 ,{'$date': {'$numberLong': '1599430742443'}},a unit of measure for liquids (approx. 180 ml),,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 260},['5f53fc3cceceb9573eaf8788']
연장,연장 ,{'$date': {'$numberLong': '1599430742443'}},relative seniority; sb who is relatively senior,年長,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 261},['5f53fc3cceceb9573eaf8788']
예사,예사 ,{'$date': {'$numberLong': '1599430742443'}},"an everyday occurrence, a usual affair; habit, way",例事,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 262},['5f53fc3cceceb9573eaf8788']
검푸르,검푸르다 ,{'$date': {'$numberLong': '1599430742443'}},be dark blue,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 263},['5f53fc3cceceb9573eaf8788']
수줍음,수줍음 ,{'$date': {'$numberLong': '1599430742443'}},"shyness, bashfulness",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 264},['5f53fc3cceceb9573eaf8788']
쑥스럽,쑥스럽다 ,{'$date': {'$numberLong': '1599430742443'}},be/feel embarrassed,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 265},['5f53fc3cceceb9573eaf8788']
지꺼리,지꺼리,{'$date': {'$numberLong': '1599430742443'}}," ""talk",를,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 266},['5f53fc3cceceb9573eaf8788']
뉘엿뉘엿,뉘엿뉘엿 ,{'$date': {'$numberLong': '1599430742443'}},description of the sun about to set,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 267},['5f53fc3cceceb9573eaf8788']
여물,여물 ,{'$date': {'$numberLong': '1599430742443'}},cattle feed,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 268},['5f53fc3cceceb9573eaf8788']
저들,저들 ,{'$date': {'$numberLong': '1599430742443'}},those people,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 269},['5f53fc3cceceb9573eaf8788']
밭두렁,밭두렁 ,{'$date': {'$numberLong': '1599430742443'}},ridge between fields,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 270},['5f53fc3cceceb9573eaf8788']
반색하,반색하다 ,{'$date': {'$numberLong': '1599430742443'}},show great joy,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 271},['5f53fc3cceceb9573eaf8788']
술내,술내 ,{'$date': {'$numberLong': '1599430742443'}},smell of alcohol,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 272},['5f53fc3cceceb9573eaf8788']
달아나,달아나다 ,{'$date': {'$numberLong': '1599430742443'}},"get away, run away, retreat",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 273},['5f53fc3cceceb9573eaf8788']
돌멩이,돌멩이 ,{'$date': {'$numberLong': '1599430742443'}},"a single stone, a small rock",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 274},['5f53fc3cceceb9573eaf8788']
줍,줍다 ,{'$date': {'$numberLong': '1599430742443'}},"to pick up, gather",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 275},['5f53fc3cceceb9573eaf8788']
깔,깔다 ,{'$date': {'$numberLong': '1599430742443'}},"spread out, lay out",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 276},['5f53fc3cceceb9573eaf8788']
끼어 앉,끼어 앉다 ,{'$date': {'$numberLong': '1599430742443'}},sit between,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 277},['5f53fc3cceceb9573eaf8788']
강냉이=옥수수,강냉이 = 옥수수 ,{'$date': {'$numberLong': '1599430742443'}},puffed corn (a Korean snack),,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 278},['5f53fc3cceceb9573eaf8788']
빚,빚다 ,{'$date': {'$numberLong': '1599430742443'}},"brew, ferment",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 279},['5f53fc3cceceb9573eaf8788']
곡주,곡주 ,{'$date': {'$numberLong': '1599430742443'}},alcoholic beverage brewed from grains,穀酒,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 280},['5f53fc3cceceb9573eaf8788']
암갈색,암갈색 ,{'$date': {'$numberLong': '1599430742443'}},dark brown,暗褐色,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 281},['5f53fc3cceceb9573eaf8788']
강렬하,강렬하다 ,{'$date': {'$numberLong': '1599430742443'}},"be strong, intense",强烈,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 282},['5f53fc3cceceb9573eaf8788']
입맛을 당기,입맛,{'$date': {'$numberLong': '1599430742443'}},increase or stimulate one’s appetite,을,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 283},['5f53fc3cceceb9573eaf8788']
석유통,석유통 ,{'$date': {'$numberLong': '1599430742443'}},petroleum can,石油桶,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 284},['5f53fc3cceceb9573eaf8788']
곧잘,곧잘 ,{'$date': {'$numberLong': '1599430742443'}},pretty well,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 285},['5f53fc3cceceb9573eaf8788']
흥건히,흥건히 ,{'$date': {'$numberLong': '1599430742443'}},enough,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 286},['5f53fc3cceceb9573eaf8788']
바람 새,바람,{'$date': {'$numberLong': '1599430742443'}},wind/air leaks out,이,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 287},['5f53fc3cceceb9573eaf8788']
음성,음성 ,{'$date': {'$numberLong': '1599430742443'}},voice,音聲,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 288},['5f53fc3cceceb9573eaf8788']
검정,검정 ,{'$date': {'$numberLong': '1599430742443'}},black color,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 289},['5f53fc3cceceb9573eaf8788']
운동화,운동화 ,{'$date': {'$numberLong': '1599430742443'}},sneakers,運動靴,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 290},['5f53fc3cceceb9573eaf8788']
틈새,틈새 ,{'$date': {'$numberLong': '1599430742443'}},"crack, gap; niche",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 291},['5f53fc3cceceb9573eaf8788']
삐져나오,삐져나오다 ,{'$date': {'$numberLong': '1599430742443'}},"protrude, stick out",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 292},['5f53fc3cceceb9573eaf8788']
때묻,때,{'$date': {'$numberLong': '1599430742443'}},"be/get soiled, dirty",가,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 293},['5f53fc3cceceb9573eaf8788']
열띠,열띠다 ,{'$date': {'$numberLong': '1599430742443'}},"grow (get) excited, become heated",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 294},['5f53fc3cceceb9573eaf8788']
음성,음성 ,{'$date': {'$numberLong': '1599430742443'}},voice,音聲,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 295},['5f53fc3cceceb9573eaf8788']
까딱거리,까딱거리다 ,{'$date': {'$numberLong': '1599430742443'}},"budge, fidget; make back and forth movements",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 296},['5f53fc3cceceb9573eaf8788']
쉬,쉬다 ,{'$date': {'$numberLong': '1599430742443'}},"become sour, fermented",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 297},['5f53fc3cceceb9573eaf8788']
조각,조각 ,{'$date': {'$numberLong': '1599430742443'}},"slice, piece",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 298},['5f53fc3cceceb9573eaf8788']
강술,강술 ,{'$date': {'$numberLong': '1599430742443'}},liquor served without any side dishes or snacks/food,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 299},['5f53fc3cceceb9573eaf8788']
대접,대접 ,{'$date': {'$numberLong': '1599430742443'}},Korean bowl,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 300},['5f53fc3cceceb9573eaf8788']
쉬,쉬 ,{'$date': {'$numberLong': '1599430742443'}},easily,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 301},['5f53fc3cceceb9573eaf8788']
남정네,남정네 ,{'$date': {'$numberLong': '1599430742443'}},menfolk,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 302},['5f53fc3cceceb9573eaf8788']
열띠,열띠다 ,{'$date': {'$numberLong': '1599430742443'}},be/get excited,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 303},['5f53fc3cceceb9573eaf8788']
알,알 ,{'$date': {'$numberLong': '1599430742443'}},one grain,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 304},['5f53fc3cceceb9573eaf8788']
곡주,곡주 ,{'$date': {'$numberLong': '1599430742443'}},alcoholic drink brewed from grain,穀酒,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 305},['5f53fc3cceceb9573eaf8788']
단박에,단박에 ,{'$date': {'$numberLong': '1599430742443'}},"at once, immediately; in one go",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 306},['5f53fc3cceceb9573eaf8788']
살구꽃,살구꽃 ,{'$date': {'$numberLong': '1599430742443'}},apricot blossom,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 307},['5f53fc3cceceb9573eaf8788']
분분하,분분하다 ,{'$date': {'$numberLong': '1599430742443'}},"be boisterous, rowdy",紛紛,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 308},['5f53fc3cceceb9573eaf8788']
청청하,청청하다 ,{'$date': {'$numberLong': '1599430742443'}},"be bright green, evergreen",靑靑하다,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 309},['5f53fc3cceceb9573eaf8788']
능선,능선 ,{'$date': {'$numberLong': '1599430742443'}},ridgeline,稜線,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 310},['5f53fc3cceceb9573eaf8788']
펼치,펼치다 ,{'$date': {'$numberLong': '1599430742443'}},"spread out, extend",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 311},['5f53fc3cceceb9573eaf8788']
순청,순청 ,{'$date': {'$numberLong': '1599430742443'}},pure blue,純靑,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 312},['5f53fc3cceceb9573eaf8788']
신록,신록 ,{'$date': {'$numberLong': '1599430742443'}},fresh verdure,新綠,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 313},['5f53fc3cceceb9573eaf8788']
녹음,녹음 ,{'$date': {'$numberLong': '1599430742443'}},shade created by trees,綠陰,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 314},['5f53fc3cceceb9573eaf8788']
거대하,거대하다 ,{'$date': {'$numberLong': '1599430742443'}},"be huge, enormous, humongous",巨大,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 315},['5f53fc3cceceb9573eaf8788']
암벽 ,암벽 ,{'$date': {'$numberLong': '1599430742443'}},rock face,岩壁,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 316},['5f53fc3cceceb9573eaf8788']
취홍,취흥 ,{'$date': {'$numberLong': '1599430742443'}},merriment in intoxication,醉興,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 317},['5f53fc3cceceb9573eaf8788']
곧이듣,곧이듣다 ,{'$date': {'$numberLong': '1599430742443'}},believe one’s ears; take sb at their word,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 318},['5f53fc3cceceb9573eaf8788']
간밤,간밤 ,{'$date': {'$numberLong': '1599430742443'}},last night,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 319},['5f53fc3cceceb9573eaf8788']
대꾸,대꾸 ,{'$date': {'$numberLong': '1599430742443'}},"response, answer",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 320},['5f53fc3cceceb9573eaf8788']
팔,팔 ,{'$date': {'$numberLong': '1599430742443'}},arms,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 321},['5f53fc3cceceb9573eaf8788']
치켜들,치켜들다 ,{'$date': {'$numberLong': '1599430742443'}},"raise, hoist",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 322},['5f53fc3cceceb9573eaf8788']
동조하,동조하다 ,{'$date': {'$numberLong': '1599430742443'}},"follow suit, chime in with; side with, agree with",同調,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 323},['5f53fc3cceceb9573eaf8788']
멧돼지,멧돼지 ,{'$date': {'$numberLong': '1599430742443'}},wild boar,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 324},['5f53fc3cceceb9573eaf8788']
용,용 ,{'$date': {'$numberLong': '1599430742443'}},dragon,龍,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 325},['5f53fc3cceceb9573eaf8788']
코끼리,코끼리 ,{'$date': {'$numberLong': '1599430742443'}},elephant,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 326},['5f53fc3cceceb9573eaf8788']
주정뱅이,주정뱅이 ,{'$date': {'$numberLong': '1599430742443'}},drunkard,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 327},['5f53fc3cceceb9573eaf8788']
퍼쓱 웃,퍼쓱 웃다 ,{'$date': {'$numberLong': '1599430742443'}},laugh in a 퍼쓱 kind of way (?),,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 328},['5f53fc3cceceb9573eaf8788']
어깨,어깨 ,{'$date': {'$numberLong': '1599430742443'}},shoulders,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 329},['5f53fc3cceceb9573eaf8788']
치,치다 ,{'$date': {'$numberLong': '1599430742443'}},"slap, pat",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 330},['5f53fc3cceceb9573eaf8788']
사실,사실 ,{'$date': {'$numberLong': '1599430742443'}},"truth, facts",事實,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 331},['5f53fc3cceceb9573eaf8788']
건너다 보,건너다보다 ,{'$date': {'$numberLong': '1599430742443'}},look across at,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 332},['5f53fc3cceceb9573eaf8788']
전혀,전혀 + neg. ,{'$date': {'$numberLong': '1599430742443'}},"not at all, never",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 333},['5f53fc3cceceb9573eaf8788']
취하,취하다 ,{'$date': {'$numberLong': '1599430742443'}},get drunk,醉,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 334},['5f53fc3cceceb9573eaf8788']
독하,독하다 ,{'$date': {'$numberLong': '1599430742443'}},be strong (liquor),毒,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 335},['5f53fc3cceceb9573eaf8788']
곡주,곡주 ,{'$date': {'$numberLong': '1599430742443'}},alcoholic drink brewed from grain,穀酒,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 336},['5f53fc3cceceb9573eaf8788']
밭일,밭일 [반닐],{'$date': {'$numberLong': '1599430742443'}},"farming, farm work",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 337},['5f53fc3cceceb9573eaf8788']
틈틈이,틈틈이 ,{'$date': {'$numberLong': '1599430742443'}},in spare moments,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 338},['5f53fc3cceceb9573eaf8788']
냉수,냉수 ,{'$date': {'$numberLong': '1599430742443'}},cold drinking water,冷水,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 339},['5f53fc3cceceb9573eaf8788']
에 지나지 않,-에 지나지 않다,{'$date': {'$numberLong': '1599430742443'}},"be only, be merely, be nothing more than",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 340},['5f53fc3cceceb9573eaf8788']
장성한 아이,장성한 아이 ,{'$date': {'$numberLong': '1599430742443'}},grown up child,長成,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 341},['5f53fc3cceceb9573eaf8788']
대처,대처 ,{'$date': {'$numberLong': '1599430742443'}},"city, town",大處,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 342},['5f53fc3cceceb9573eaf8788']
내보내,내보내다 ,{'$date': {'$numberLong': '1599430742443'}},"send off, send away",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 343},['5f53fc3cceceb9573eaf8788']
제각끔=제각기,제각끔 = 제각기 ,{'$date': {'$numberLong': '1599430742443'}},"each respectively, each independently",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 344},['5f53fc3cceceb9573eaf8788']
황소,황소 ,{'$date': {'$numberLong': '1599430742443'}},"bull, ox",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 345},['5f53fc3cceceb9573eaf8788']
끌,끌다 ,{'$date': {'$numberLong': '1599430742443'}},"pull, drag",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 346},['5f53fc3cceceb9573eaf8788']
일거리,일거리 [-꺼리] ,{'$date': {'$numberLong': '1599430742443'}},"job, work",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 347},['5f53fc3cceceb9573eaf8788']
챙기,챙기다 ,{'$date': {'$numberLong': '1599430742443'}},"manage, take care of",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 348},['5f53fc3cceceb9573eaf8788']
산골 사람,산골 사람 [-꼴],{'$date': {'$numberLong': '1599430742443'}},mountain folk,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 349},['5f53fc3cceceb9573eaf8788']
쉬,쉬 = 쉽게 ,{'$date': {'$numberLong': '1599430742443'}},easily,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 350},['5f53fc3cceceb9573eaf8788']
대할 수 없,대하다 ,{'$date': {'$numberLong': '1599430742443'}},"come into contact with, encounter",對,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 351},['5f53fc3cceceb9573eaf8788']
절제되,절제되다 ,{'$date': {'$numberLong': '1599430742443'}},"be controlled, restrained",節制,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 352},['5f53fc3cceceb9573eaf8788']
정연하,정연하다 ,{'$date': {'$numberLong': '1599430742443'}},"be orderly, systematic",整然,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 353},['5f53fc3cceceb9573eaf8788']
젊은이,젊은이 ,{'$date': {'$numberLong': '1599430742443'}},"youngster, youth, lad",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 354},['5f53fc3cceceb9573eaf8788']
에 대한,-에 대한 ,{'$date': {'$numberLong': '1599430742443'}},"regarding, concerning",#NAME?,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 355},['5f53fc3cceceb9573eaf8788']
필요,필요 ,{'$date': {'$numberLong': '1599430742443'}},"need, necessity",必要,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 356},['5f53fc3cceceb9573eaf8788']
이상,이상 ,{'$date': {'$numberLong': '1599430742443'}},"over, above",以上,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 357},['5f53fc3cceceb9573eaf8788']
호의,호의 ,{'$date': {'$numberLong': '1599430742443'}},"good will, hospitality",好意,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 358},['5f53fc3cceceb9573eaf8788']
관심,관심 ,{'$date': {'$numberLong': '1599430742443'}},interest,關心,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 359},['5f53fc3cceceb9573eaf8788']
내보이,내보이다 ,{'$date': {'$numberLong': '1599430742443'}},"show, display",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 360},['5f53fc3cceceb9573eaf8788']
꼿꼿하,꼿꼿하다 ,{'$date': {'$numberLong': '1599430742443'}},"be straight, upright",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 361},['5f53fc3cceceb9573eaf8788']
자세,자세 ,{'$date': {'$numberLong': '1599430742443'}},posture,姿勢,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 362},['5f53fc3cceceb9573eaf8788']
견지하,견지하다 ,{'$date': {'$numberLong': '1599430742443'}},"adhere to, stick to, maintain",堅持,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 363},['5f53fc3cceceb9573eaf8788']
참여하,참여하다 ,{'$date': {'$numberLong': '1599430742443'}},"take part in, participate in",參與,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 364},['5f53fc3cceceb9573eaf8788']
존재하,존재하다 ,{'$date': {'$numberLong': '1599430742443'}},exist,存在,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 365},['5f53fc3cceceb9573eaf8788']
자신,자신 ,{'$date': {'$numberLong': '1599430742443'}},confidence,自信,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 366},['5f53fc3cceceb9573eaf8788']
확언하,확언하다 ,{'$date': {'$numberLong': '1599430742443'}},"assert, say with conviction, definitely say",確言,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 367},['5f53fc3cceceb9573eaf8788']
틀림없,틀림없다 ,{'$date': {'$numberLong': '1599430742443'}},"be correct, exact, without mistake",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 368},['5f53fc3cceceb9573eaf8788']
실제로,실제로 ,{'$date': {'$numberLong': '1599430742443'}},in reality,實際로,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 369},['5f53fc3cceceb9573eaf8788']
남기,남기다 ,{'$date': {'$numberLong': '1599430742443'}},"left over, leave something behind",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 370},['5f53fc3cceceb9573eaf8788']
발자국,발자국 [-짜국],{'$date': {'$numberLong': '1599430742443'}},foot print,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 371},['5f53fc3cceceb9573eaf8788']
똑똑히,똑똑히 ,{'$date': {'$numberLong': '1599430742443'}},"clearly, distinctly",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 372},['5f53fc3cceceb9573eaf8788']
쉽사리,쉽사리 ,{'$date': {'$numberLong': '1599430742443'}},easily,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 373},['5f53fc3cceceb9573eaf8788']
띄,띄다 ,{'$date': {'$numberLong': '1599430742443'}},"stand out, be seen",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 374},['5f53fc3cceceb9573eaf8788']
숨기,숨기다 ,{'$date': {'$numberLong': '1599430742443'}},"hide, conceal sth",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 375},['5f53fc3cceceb9573eaf8788']
대체로,대체로 ,{'$date': {'$numberLong': '1599430742443'}},"by and large, in general",大體로,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 376},['5f53fc3cceceb9573eaf8788']
운신하,운신하다 ,{'$date': {'$numberLong': '1599430742443'}},move around,運身,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 377},['5f53fc3cceceb9573eaf8788']
까닭,까닭 ,{'$date': {'$numberLong': '1599430742443'}},reason,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 378},['5f53fc3cceceb9573eaf8788']
더욱,더욱 ,{'$date': {'$numberLong': '1599430742443'}},even more so,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 379},['5f53fc3cceceb9573eaf8788']
한평생,한평생 ,{'$date': {'$numberLong': '1599430742443'}},for one’s entire life,-平生,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 380},['5f53fc3cceceb9573eaf8788']
확실히,확실히 ,{'$date': {'$numberLong': '1599430742443'}},"clearly, definitely",確實,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 381},['5f53fc3cceceb9573eaf8788']
승냥이,승냥이 ,{'$date': {'$numberLong': '1599430742443'}},"coyote, jackal",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 382},['5f53fc3cceceb9573eaf8788']
구분하,구분하다 ,{'$date': {'$numberLong': '1599430742443'}},distinguish,區分,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 383},['5f53fc3cceceb9573eaf8788']
능히,능히 ,{'$date': {'$numberLong': '1599430742443'}},easily,能,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 384},['5f53fc3cceceb9573eaf8788']
실력,실력 ,{'$date': {'$numberLong': '1599430742443'}},ability,實力,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 385},['5f53fc3cceceb9573eaf8788']
입이 닳,입이 닳도록 ,{'$date': {'$numberLong': '1599430742443'}},until one’s mouth wears out,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 386},['5f53fc3cceceb9573eaf8788']
칭찬하,칭찬하다 ,{'$date': {'$numberLong': '1599430742443'}},"praise, compliment",稱讚,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 387},['5f53fc3cceceb9573eaf8788']
마지않,-어 마지않는다 ,{'$date': {'$numberLong': '1599430742443'}},can never … enough; does excessively,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 388},['5f53fc3cceceb9573eaf8788']
사방,사방 ,{'$date': {'$numberLong': '1599430742443'}},"all four directions, everywhere",四方,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 389},['5f53fc3cceceb9573eaf8788']
몰이꾼,몰이꾼 ,{'$date': {'$numberLong': '1599430742443'}},chaser,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 390},['5f53fc3cceceb9573eaf8788']
늑대,늑대 ,{'$date': {'$numberLong': '1599430742443'}},wolf,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 391},['5f53fc3cceceb9573eaf8788']
기척,기척 ,{'$date': {'$numberLong': '1599430742443'}},"trace, hint, sign",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 392},['5f53fc3cceceb9573eaf8788']
알아내,알아내다 ,{'$date': {'$numberLong': '1599430742443'}},"find out, discover, notice",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 393},['5f53fc3cceceb9573eaf8788']
취기를 빌,취기를 빌다 ,{'$date': {'$numberLong': '1599430742443'}},take advantage of a moment of intoxication,醉氣,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 394},['5f53fc3cceceb9573eaf8788']
가난하,가난하다 ,{'$date': {'$numberLong': '1599430742443'}},"be poor, destitute",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 395},['5f53fc3cceceb9573eaf8788']
