korean,stem,createdDate,english,hanja,lastUpdated,order_id,storyList
갖추,갖추다 ,{'$date': {'$numberLong': '1599430742443'}},equipped with; contain,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 32},['5f53fc3cceceb9573eaf8788']
해발,해발 ,{'$date': {'$numberLong': '1599430742443'}},above sea level,海拔,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 33},['5f53fc3cceceb9573eaf8788']
다다르,다다르다 ,{'$date': {'$numberLong': '1599430742443'}},"come to, arrive at, reach",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 34},['5f53fc3cceceb9573eaf8788']
손꼽,손꼽히다 ,{'$date': {'$numberLong': '1599430742443'}},be/get counted [among the best or among the few],,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 35},['5f53fc3cceceb9573eaf8788']
거산,거산 ,{'$date': {'$numberLong': '1599430742443'}},"grand, tall mountain",巨山,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 36},['5f53fc3cceceb9573eaf8788']
장엄,장엄 ,{'$date': {'$numberLong': '1599430742443'}},"majesty, solemnity, sublimity",莊嚴,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 37},['5f53fc3cceceb9573eaf8788']
웅대하,웅대하다 ,{'$date': {'$numberLong': '1599430742443'}},"be grand, magnificent",雄大,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 38},['5f53fc3cceceb9573eaf8788']
연봉,연봉 ,{'$date': {'$numberLong': '1599430742443'}},chain of mountain peaks,連峯,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 39},['5f53fc3cceceb9573eaf8788']
병풍,병풍 ,{'$date': {'$numberLong': '1599430742443'}},folding screen,屛風,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 40},['5f53fc3cceceb9573eaf8788']
천공,천공 ,{'$date': {'$numberLong': '1599430742443'}},"the sky, the air",天空,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 41},['5f53fc3cceceb9573eaf8788']
솟,솟다 ,{'$date': {'$numberLong': '1599430742443'}},"gush forth, stand erect",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 42},['5f53fc3cceceb9573eaf8788']
구절심곡 ,구절심곡 ,{'$date': {'$numberLong': '1599430742443'}},long winding deep valleys,九折深谷,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 43},['5f53fc3cceceb9573eaf8788']
구슬,구슬 ,{'$date': {'$numberLong': '1599430742443'}},"pearl, jewel; gem",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 44},['5f53fc3cceceb9573eaf8788']
석간수,석간수 ,{'$date': {'$numberLong': '1599430742443'}},water flowing between rocks,石間水,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 45},['5f53fc3cceceb9573eaf8788']
요란스럽,요란스럽다 ,{'$date': {'$numberLong': '1599430742443'}},"be noisy, boisterous",搖亂-,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 46},['5f53fc3cceceb9573eaf8788']
흘러내리,흘러내리다 ,{'$date': {'$numberLong': '1599430742443'}},flow downwards,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 47},['5f53fc3cceceb9573eaf8788']
울울창창 하,울울창창하다 ,{'$date': {'$numberLong': '1599430742443'}},be luxuriant,鬱鬱蒼蒼,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 48},['5f53fc3cceceb9573eaf8788']
수림,수림 ,{'$date': {'$numberLong': '1599430742443'}},forest,樹林,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 49},['5f53fc3cceceb9573eaf8788']
들,들다 ,{'$date': {'$numberLong': '1599430742443'}},enter,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 50},['5f53fc3cceceb9573eaf8788']
,,{'$date': {'$numberLong': '1599430742443'}},mountain ridge,산,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 51},['5f53fc3cceceb9573eaf8788']
중간중간,중간중간 ,{'$date': {'$numberLong': '1599430742443'}},here and there,中間中間,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 52},['5f53fc3cceceb9573eaf8788']
삐져나오,삐져나오다 ,{'$date': {'$numberLong': '1599430742443'}},stick out,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 53},['5f53fc3cceceb9573eaf8788']
암벽,암벽 ,{'$date': {'$numberLong': '1599430742443'}},cliff,岩壁,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 54},['5f53fc3cceceb9573eaf8788']
햇살,햇살 ,{'$date': {'$numberLong': '1599430742443'}},"sunbeams, the rays of the sun, sunshine",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 55},['5f53fc3cceceb9573eaf8788']
거울,거울 ,{'$date': {'$numberLong': '1599430742443'}},mirror,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 56},['5f53fc3cceceb9573eaf8788']
번쩍이,번쩍이다,{'$date': {'$numberLong': '1599430742443'}},"shine, glitter",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 57},['5f53fc3cceceb9573eaf8788']
주봉,주봉 ,{'$date': {'$numberLong': '1599430742443'}},main (highest) peak,主峰,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 58},['5f53fc3cceceb9573eaf8788']
훨씬,훨씬 ,{'$date': {'$numberLong': '1599430742443'}},considerably [more],,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 59},['5f53fc3cceceb9573eaf8788']
비키,비키다 ,{'$date': {'$numberLong': '1599430742443'}},"move (over), move (out of the way)",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 60},['5f53fc3cceceb9573eaf8788']
중턱,중턱 ,{'$date': {'$numberLong': '1599430742443'}},mid-slope of a mountain,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 61},['5f53fc3cceceb9573eaf8788']
위치하,위치하다 ,{'$date': {'$numberLong': '1599430742443'}},"be situated, located",位置,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 62},['5f53fc3cceceb9573eaf8788']
주위,주위 ,{'$date': {'$numberLong': '1599430742443'}},surroundings,主位,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 63},['5f53fc3cceceb9573eaf8788']
산세,산세 ,{'$date': {'$numberLong': '1599430742443'}},physical aspect (geographical features) of a mountain,山勢,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 64},['5f53fc3cceceb9573eaf8788']
예의,예의 ,{'$date': {'$numberLong': '1599430742443'}},"manners, propriety; dignity, grace",禮儀,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 65},['5f53fc3cceceb9573eaf8788']
험하,험하다 ,{'$date': {'$numberLong': '1599430742443'}},"be rugged, rough and irregular, steep, dangerous",險,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 66},['5f53fc3cceceb9573eaf8788']
골,골 ,{'$date': {'$numberLong': '1599430742443'}},valley,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 67},['5f53fc3cceceb9573eaf8788']
사방,사방 ,{'$date': {'$numberLong': '1599430742443'}},"four sides, four directions (everywhere)",四方,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 68},['5f53fc3cceceb9573eaf8788']
가리워지,가리워지다 ,{'$date': {'$numberLong': '1599430742443'}},"be/get hidden, concealed",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 69},['5f53fc3cceceb9573eaf8788']
골,골 ,{'$date': {'$numberLong': '1599430742443'}},valley,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 70},['5f53fc3cceceb9573eaf8788']
흐르,흐르다 ,{'$date': {'$numberLong': '1599430742443'}},flow,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 71},['5f53fc3cceceb9573eaf8788']
이내,이내 ,{'$date': {'$numberLong': '1599430742443'}},"right away, immediately",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 72},['5f53fc3cceceb9573eaf8788']
모퉁이,모퉁이 ,{'$date': {'$numberLong': '1599430742443'}},corner,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 73},['5f53fc3cceceb9573eaf8788']
돌,돌다 ,{'$date': {'$numberLong': '1599430742443'}},"turn, make a turn",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 74},['5f53fc3cceceb9573eaf8788']
트이,트이다 ,{'$date': {'$numberLong': '1599430742443'}},be/get opened up,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 75},['5f53fc3cceceb9573eaf8788']
온통,온통 ,{'$date': {'$numberLong': '1599430742443'}},"all, everywhere; in its entirety",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 76},['5f53fc3cceceb9573eaf8788']
